school,sex,age,address,famsize,Pstatus,Medu,Fedu,studytime,activities,romantic,famrel,freetime,goout,health,absences,alc,grades
GP,F,16,U,GT3,T,4,3,2,yes,no,4,3,5,2,2,1, 14.33 
GP,F,16,U,GT3,T,2,3,2,yes,no,4,4,3,4,4,1, 11.67 
GP,F,17,U,GT3,T,1,1,2,no,no,4,4,4,1,0,1, 14.67 
GP,F,17,R,GT3,T,2,2,1,no,no,5,3,2,3,21,1, 13.00 
GP,F,16,R,GT3,T,2,2,4,yes,no,5,3,5,5,6,0, 13.00 
GP,F,17,U,GT3,T,3,4,3,no,yes,4,4,3,5,14,1, 8.33 
GP,F,16,U,GT3,A,3,1,2,no,no,2,3,3,4,2,1, 11.33 
GP,F,16,U,GT3,T,4,3,2,yes,yes,1,3,2,1,4,0, 14.67 
GP,F,16,U,GT3,T,1,1,1,no,no,4,3,2,5,2,1, 12.67 
GP,F,17,R,GT3,T,4,3,3,yes,yes,4,4,2,4,0,0, 11.67 
GP,F,19,U,GT3,T,3,3,4,yes,no,4,3,3,3,4,1, 12.00 
GP,M,17,U,LE3,T,4,4,2,no,yes,5,3,5,3,15,1, 12.33 
GP,F,16,U,GT3,A,2,2,2,no,no,3,3,4,4,0,0, 13.00 
GP,M,18,U,GT3,T,2,2,2,yes,no,4,4,4,5,10,1, 11.33 
GP,F,17,R,LE3,T,4,4,1,no,no,5,2,1,3,6,1, 11.33 
GP,F,17,U,LE3,T,3,2,2,no,no,4,4,4,1,2,1, 15.00 
GP,F,17,U,GT3,T,4,3,2,no,yes,3,4,5,1,16,1, 10.00 
GP,M,18,U,LE3,T,3,3,2,no,no,3,2,4,4,10,1, 10.00 
GP,F,17,U,GT3,T,2,3,1,no,no,3,3,3,3,4,1, 12.67 
GP,F,17,U,GT3,T,2,2,3,yes,no,4,3,3,4,0,0, 12.33 
GP,F,17,R,GT3,T,2,1,2,yes,no,4,2,5,5,0,1, 10.67 
GP,F,17,U,GT3,T,1,1,3,yes,yes,4,3,4,5,12,0, 12.00 
GP,F,16,U,GT3,T,2,3,2,no,no,2,3,1,3,0,0, 13.33 
GP,M,18,U,GT3,T,2,2,2,no,no,3,3,3,4,9,1, 9.67 
GP,F,16,U,GT3,T,4,4,3,yes,no,5,3,2,5,4,0, 15.67 
GP,F,18,R,GT3,T,3,1,2,yes,yes,5,3,3,4,4,0, 8.00 
GP,F,17,U,GT3,T,3,2,2,yes,no,5,3,4,3,2,1, 17.33 
GP,M,17,U,LE3,T,2,3,2,no,no,5,3,3,3,0,1, 10.67 
GP,M,18,U,LE3,T,2,1,2,yes,yes,4,3,2,3,2,1, 10.00 
GP,F,17,U,GT3,A,2,1,3,yes,yes,3,2,3,3,0,1, 15.33 
GP,F,17,U,LE3,T,4,3,2,yes,yes,3,2,3,3,0,1, 12.67 
GP,M,17,R,GT3,T,2,2,2,yes,no,4,5,2,1,0,0, 12.67 
GP,M,17,U,GT3,T,4,4,2,yes,yes,4,5,5,2,0,1, 13.00 
GP,M,16,U,GT3,T,4,4,2,yes,no,4,2,4,1,0,1, 13.33 
GP,M,16,U,LE3,T,1,1,2,no,no,3,4,2,5,2,0, 9.00 
GP,M,16,U,GT3,T,3,2,3,yes,yes,5,3,3,2,0,1, 12.00 
GP,M,17,U,LE3,T,2,2,2,yes,yes,4,4,2,4,0,1, 16.00 
GP,F,16,U,GT3,T,2,1,1,no,yes,4,5,2,5,4,0, 9.67 
GP,F,16,U,GT3,A,4,1,2,yes,yes,5,3,3,5,0,1, 13.33 
GP,F,18,U,LE3,A,2,4,2,no,no,4,3,3,3,18,0, 10.00 
GP,F,18,U,LE3,T,2,2,2,no,yes,5,3,1,5,16,0, 9.00 
GP,F,18,U,GT3,T,3,3,1,no,no,4,1,1,3,14,0, 7.33 
GP,M,18,U,GT3,T,2,2,1,yes,yes,4,4,3,1,26,1, 7.67 
GP,M,17,U,GT3,T,4,4,1,yes,no,4,2,1,5,6,1, 9.00 
GP,F,17,U,GT3,T,3,2,2,yes,no,5,4,2,3,4,0, 14.33 
GP,F,17,U,LE3,T,1,1,3,yes,yes,4,3,2,4,10,1, 10.33 
GP,F,16,U,GT3,T,1,2,1,no,no,5,3,5,5,4,1, 11.33 
GP,F,17,R,GT3,T,2,1,2,yes,no,2,1,1,3,2,0, 13.00 
GP,F,17,R,LE3,A,1,4,1,no,no,5,5,4,5,14,0, 8.67 
GP,M,18,U,GT3,T,2,2,2,no,no,5,5,4,2,16,1, 7.67 
GP,F,17,U,LE3,A,2,2,1,no,no,3,1,2,1,8,0, 10.00 
GP,F,17,R,LE3,T,1,1,3,yes,no,4,3,3,5,4,1, 14.67 
GP,F,17,U,LE3,A,4,2,2,yes,no,4,3,2,4,4,0, 14.33 
GP,M,17,U,LE3,T,4,3,2,yes,yes,2,5,5,5,8,1, 15.00 
GP,M,17,R,LE3,A,4,4,2,no,no,3,3,3,4,0,1, 12.00 
GP,M,16,U,LE3,T,4,3,1,yes,no,5,4,5,3,7,0, 14.33 
GP,M,16,U,GT3,T,4,4,1,yes,no,5,3,2,5,4,1, 14.67 
GP,F,17,U,GT3,T,4,4,2,no,yes,5,3,1,5,2,1, 11.33 
GP,M,17,R,GT3,T,1,1,3,no,yes,4,3,3,1,2,0, 14.00 
GP,F,17,U,GT3,T,3,3,3,no,yes,4,2,2,5,10,1, 11.00 
GP,F,17,U,GT3,T,1,1,2,no,yes,4,3,2,4,10,0, 9.67 
GP,F,18,U,GT3,T,2,1,3,no,yes,4,4,4,3,10,0, 11.00 
GP,M,16,U,GT3,T,2,1,1,no,no,4,3,3,4,7,0, 15.67 
GP,F,17,U,GT3,T,1,1,2,no,no,4,3,4,5,4,1, 10.67 
GP,M,17,U,GT3,T,2,3,1,no,no,5,2,2,2,2,0, 11.33 
GP,M,22,U,GT3,T,3,1,1,no,yes,5,4,5,1,12,1, 6.67 
GP,M,18,R,LE3,T,3,3,2,no,yes,4,3,3,5,8,1, 9.67 
GP,M,16,U,GT3,T,0,2,1,no,no,4,3,2,5,0,1, 11.33 
GP,M,18,U,GT3,T,3,2,1,no,no,4,4,5,5,8,1, 7.33 
GP,M,16,U,GT3,T,3,3,2,no,no,5,3,3,2,4,1, 10.00 
GP,M,18,U,GT3,T,2,1,1,no,no,3,2,5,5,4,1, 7.00 
GP,M,16,R,GT3,T,2,1,1,yes,no,3,3,2,3,2,1, 13.00 
GP,M,17,R,GT3,T,2,1,1,no,no,4,4,2,5,0,1, 12.33 
GP,M,17,U,LE3,T,1,1,1,yes,no,4,4,4,5,0,1, 9.67 
GP,F,18,U,LE3,A,2,1,2,no,yes,4,3,4,5,2,1, 12.33 
GP,F,17,U,LE3,T,4,2,4,yes,no,4,2,3,4,2,0, 15.33 
GP,F,19,U,GT3,T,2,2,2,no,no,4,3,3,5,0,0, 10.33 
GP,M,18,U,LE3,T,2,1,2,yes,no,4,4,5,5,4,1, 10.67 
GP,F,17,R,GT3,T,4,2,3,yes,no,4,3,4,5,2,1, 12.33 
GP,F,18,U,LE3,T,1,1,3,no,no,4,4,3,3,4,1, 12.33 
GP,F,18,R,GT3,T,2,2,2,no,no,3,2,3,5,4,0, 11.67 
GP,M,19,U,LE3,A,4,3,2,no,no,4,3,1,1,4,0, 12.67 
GP,M,18,U,GT3,T,2,1,2,yes,no,5,2,4,4,2,1, 16.00 
GP,M,17,R,GT3,T,2,2,1,no,no,5,2,2,4,0,0, 9.67 
GP,F,17,U,LE3,T,2,2,4,yes,yes,3,4,1,2,2,0, 11.00 
GP,F,20,R,GT3,T,2,1,2,yes,yes,1,2,3,2,8,1, 11.33 
GP,F,18,U,GT3,T,4,3,2,no,yes,3,1,2,2,2,1, 15.00 
GP,M,18,U,GT3,T,4,3,2,no,no,4,3,2,3,2,0, 10.33 
GP,M,18,R,GT3,T,3,2,3,yes,no,5,3,2,3,2,0, 11.00 
GP,F,17,U,GT3,T,3,3,3,yes,no,3,2,3,4,2,0, 13.33 
GP,F,18,U,GT3,T,2,2,3,yes,yes,4,3,3,3,0,0, 12.00 
GP,M,17,U,GT3,T,2,2,1,no,no,4,4,4,4,8,1, 8.33 
GP,M,18,R,LE3,A,3,4,2,yes,no,4,2,5,1,6,1, 15.67 
GP,M,17,U,GT3,T,3,1,2,yes,yes,5,4,4,5,0,1, 12.00 
GP,F,18,R,GT3,T,4,4,2,yes,no,4,3,4,4,8,1, 11.00 
GP,M,18,U,GT3,T,4,2,2,yes,yes,5,4,5,5,4,1, 12.00 
GP,F,18,R,GT3,T,2,1,2,no,yes,4,3,5,3,12,1, 9.00 
GP,F,19,U,GT3,T,3,3,2,yes,no,4,3,5,5,16,1, 11.67 
GP,F,18,U,GT3,T,2,3,4,yes,yes,4,5,5,2,10,1, 16.00 
GP,F,18,U,LE3,T,1,1,2,no,no,4,4,3,3,2,0, 13.00 
GP,M,17,R,GT3,T,1,2,2,yes,yes,3,5,2,1,2,1, 17.00 
GP,F,18,U,GT3,T,2,1,2,no,yes,4,2,5,1,8,1, 14.33 
GP,F,17,U,GT3,T,2,4,2,no,yes,4,3,3,1,6,0, 15.67 
GP,F,17,U,LE3,T,2,2,2,no,yes,4,4,4,5,6,1, 12.00 
GP,F,18,R,GT3,A,3,2,2,no,yes,4,1,1,5,15,0, 10.33 
GP,M,18,U,GT3,T,4,4,1,yes,no,3,2,4,3,6,1, 11.67 
GP,F,18,U,GT3,T,4,4,2,yes,yes,2,4,4,4,2,0, 13.00 
GP,F,17,U,GT3,T,2,2,3,no,yes,4,2,3,1,8,0, 14.33 
GP,F,19,R,GT3,T,3,2,2,no,no,3,3,3,3,0,1, 9.00 
GP,M,18,U,LE3,T,4,3,1,yes,no,4,2,3,1,0,1, 10.00 
GP,M,18,U,GT3,T,1,2,1,no,no,3,4,4,4,10,1, 10.33 
GP,M,17,U,LE3,A,4,1,1,yes,yes,4,5,4,5,22,1, 10.67 
GP,M,17,U,LE3,A,3,2,1,no,no,4,4,4,3,18,1, 13.00 
GP,F,18,R,LE3,T,1,1,4,yes,no,5,2,2,3,2,0, 17.33 
GP,F,18,U,GT3,T,1,1,2,yes,no,5,4,4,4,0,0, 12.67 
GP,F,17,U,GT3,T,2,2,2,no,no,5,4,5,5,12,1, 12.67 
GP,F,18,U,GT3,T,2,1,2,yes,yes,4,3,1,5,10,0, 13.00 
GP,M,17,U,GT3,T,1,1,2,no,no,4,3,3,4,0,1, 12.00 
GP,F,18,U,GT3,T,2,2,3,no,no,4,3,3,2,0,1, 18.00 
GP,F,17,U,GT3,T,1,1,3,no,no,4,3,3,3,0,0, 13.33 
GP,M,18,U,GT3,T,2,1,3,yes,no,4,2,4,2,0,1, 14.67 
GP,M,18,U,LE3,A,4,4,2,yes,no,5,4,3,2,0,0, 17.00 
GP,M,18,U,GT3,T,4,2,2,yes,yes,4,3,2,5,2,1, 15.67 
GP,F,17,U,GT3,T,4,3,3,no,no,4,2,2,3,0,1, 17.67 
GP,F,17,R,LE3,T,3,1,4,no,no,3,1,2,3,0,0, 18.67 
GP,M,18,R,LE3,T,3,2,3,yes,no,5,4,2,4,0,0, 14.67 
GP,M,17,U,GT3,T,3,3,1,no,no,4,4,3,5,0,1, 14.67 
GP,F,19,U,GT3,T,4,4,2,yes,no,2,3,4,2,2,1, 13.33 
GP,F,18,U,LE3,T,4,3,2,no,yes,4,4,5,2,0,1, 13.67 
GP,F,18,U,GT3,T,4,3,4,no,no,4,3,3,3,0,0, 16.67 
GP,M,18,U,LE3,T,4,4,1,no,yes,1,4,2,1,0,1, 17.67 
GP,F,18,U,LE3,A,4,4,2,no,yes,4,2,4,4,0,0, 14.67 
GP,M,17,U,LE3,T,4,4,1,no,no,4,1,1,5,0,1, 12.67 
GP,F,17,R,GT3,T,4,4,3,yes,no,5,3,4,5,0,0, 7.33 
GP,F,17,U,GT3,T,4,2,3,no,no,4,3,3,3,0,0, 16.00 
GP,F,17,U,GT3,T,3,2,4,yes,no,5,2,2,5,0,1, 18.00 
GP,M,19,R,LE3,T,2,1,3,yes,yes,4,3,1,5,0,0, 10.00 
GP,M,20,U,GT3,A,3,2,1,yes,no,5,5,3,5,0,0, 14.67 
GP,M,19,R,GT3,T,3,3,2,yes,yes,4,5,3,5,0,1, 10.33 
GP,F,18,U,GT3,T,1,4,2,no,yes,3,4,4,5,2,1, 10.33 
GP,F,18,U,GT3,T,2,1,2,yes,no,5,3,3,1,2,1, 13.00 
GP,F,17,U,GT3,T,2,3,2,yes,yes,4,2,1,3,2,0, 12.33 
GP,F,17,R,GT3,T,4,4,1,yes,no,4,4,4,5,2,0, 16.00 
GP,F,18,U,GT3,T,4,3,3,yes,yes,4,3,4,5,2,0, 15.33 
GP,F,18,U,LE3,T,4,3,1,no,no,3,2,4,1,8,1, 13.00 
GP,F,17,R,GT3,T,3,4,3,yes,no,4,3,4,5,2,1, 15.67 
GP,F,18,U,GT3,T,3,3,2,no,no,4,1,4,3,8,0, 12.33 
GP,M,19,U,GT3,T,4,2,2,yes,yes,5,4,4,1,9,0, 10.33 
GP,F,18,U,GT3,T,4,4,2,no,no,4,4,4,5,0,1, 12.00 
GP,F,18,U,GT3,T,3,4,1,yes,yes,5,4,4,1,4,0, 12.33 
GP,F,17,U,GT3,T,4,4,1,yes,no,5,3,4,5,2,1, 15.33 
GP,F,17,U,GT3,A,4,3,2,no,yes,5,2,2,5,14,1, 15.33 
GP,F,17,U,LE3,A,3,3,2,no,no,5,3,3,5,0,0, 12.33 
GP,F,17,U,LE3,T,2,1,2,yes,no,4,2,3,2,2,1, 12.33 
GP,M,18,U,LE3,T,4,4,1,no,no,4,2,5,5,2,1, 9.33 
GP,F,19,U,GT3,T,1,1,3,yes,yes,1,5,5,5,12,1, 10.33 
GP,F,19,U,LE3,A,1,1,2,no,yes,5,3,4,4,2,0, 8.33 
GP,F,18,U,GT3,T,2,2,1,yes,yes,4,3,5,5,2,1, 10.00 
GP,F,17,U,GT3,T,2,2,2,no,yes,4,2,2,3,4,0, 13.33 
GP,F,17,R,LE3,T,2,2,3,yes,no,3,3,2,3,0,1, 10.67 
GP,F,17,U,GT3,T,3,1,3,no,no,3,4,3,5,0,1, 17.33 
GP,F,17,U,LE3,T,0,2,3,no,no,3,3,3,2,0,1, 14.33 
GP,F,18,U,GT3,T,1,1,3,yes,no,4,5,5,2,0,1, 14.00 
GP,M,18,U,GT3,T,4,4,3,yes,no,4,3,3,3,0,1, 13.33 
GP,M,17,U,GT3,T,3,3,1,yes,no,4,3,5,5,0,1, 17.33 
GP,M,17,R,GT3,T,2,2,1,no,no,4,4,5,4,2,1, 10.33 
GP,F,17,U,GT3,T,4,4,3,yes,no,5,4,4,4,0,1, 12.67 
GP,F,17,U,GT3,T,4,4,3,no,yes,4,3,3,4,4,1, 14.67 
GP,F,17,U,GT3,T,3,3,1,yes,no,4,2,5,5,2,1, 11.33 
GP,M,18,U,LE3,T,2,2,4,yes,no,4,5,5,5,0,1, 11.33 
GP,M,19,R,GT3,T,3,2,1,no,yes,5,3,4,5,0,1, 10.33 
GP,F,18,U,GT3,T,2,2,2,yes,yes,4,2,5,2,2,0, 9.67 
GP,F,17,R,GT3,T,2,4,3,no,yes,4,4,3,5,0,0, 15.00 
GP,M,18,U,GT3,T,2,2,1,no,no,5,4,2,5,6,1, 14.67 
GP,F,18,U,GT3,T,3,3,2,yes,no,5,3,4,4,8,0, 11.00 
GP,F,18,U,LE3,T,2,2,2,yes,yes,4,3,3,2,0,0, 10.33 
GP,F,18,R,GT3,T,2,2,4,yes,no,4,4,4,4,6,0, 13.67 
GP,F,17,U,GT3,T,3,4,3,no,no,4,4,5,5,8,1, 12.67 
GP,F,17,U,GT3,T,3,2,2,no,yes,4,3,2,2,0,1, 13.33 
GP,F,18,U,LE3,T,3,3,4,no,no,5,3,3,1,4,0, 14.33 
GP,F,17,R,GT3,A,3,2,2,no,no,4,3,3,2,0,1, 14.67 
GP,M,18,U,GT3,T,4,4,2,yes,no,4,3,3,2,0,1, 12.33 
GP,M,18,U,LE3,T,3,4,2,yes,yes,4,3,3,5,6,1, 16.33 
GP,F,17,U,GT3,A,2,2,2,no,yes,3,3,1,4,18,1, 12.00 
GP,F,18,U,GT3,T,2,3,3,no,no,4,3,3,3,0,1, 12.33 
GP,F,18,U,GT3,T,3,2,3,no,yes,5,4,3,1,4,1, 15.67 
GP,M,18,R,GT3,T,4,3,3,no,yes,5,3,2,4,4,1, 15.33 
GP,M,18,U,GT3,T,4,3,3,no,yes,5,4,5,5,0,1, 13.67 
GP,F,17,U,GT3,T,4,3,3,yes,yes,4,4,3,4,0,1, 12.00 
GP,F,17,U,GT3,T,2,1,2,yes,yes,4,3,4,1,10,1, 14.00 
GP,F,17,U,GT3,T,2,1,2,yes,no,4,3,5,4,4,1, 14.67 
GP,F,19,U,LE3,A,2,3,1,no,no,2,2,3,5,16,1, 10.67 
GP,F,17,U,GT3,T,3,1,1,no,yes,4,1,2,3,6,0, 12.00 
GP,F,21,U,LE3,T,4,4,3,yes,no,3,3,2,5,0,0, 11.00 
GP,M,18,U,LE3,T,2,2,2,yes,no,4,4,4,3,11,1, 10.67 
GP,M,18,U,LE3,A,3,4,2,yes,yes,4,3,5,2,9,1, 14.00 
GP,F,17,U,GT3,T,2,2,2,yes,no,4,3,4,4,0,1, 15.67 
GP,M,17,U,LE3,A,4,4,3,no,no,4,4,2,4,2,1, 14.00 
GP,F,18,U,LE3,T,4,2,2,yes,no,4,2,2,3,0,0, 16.00 
GP,M,21,R,LE3,T,1,1,2,yes,yes,5,3,3,4,21,1, 9.67 
GP,F,20,R,GT3,T,1,1,3,no,yes,3,2,2,3,8,1, 13.67 
GP,F,19,U,GT3,T,4,4,1,no,yes,3,2,5,5,5,1, 10.00 
GP,M,17,U,LE3,A,3,2,2,no,no,4,4,4,5,10,1, 17.33 
GP,F,18,U,GT3,T,3,2,3,no,yes,4,3,4,2,5,1, 16.00 
GP,M,18,R,GT3,T,2,3,1,no,no,3,1,3,4,13,1, 13.67 
GP,M,19,U,GT3,T,2,1,1,no,no,5,3,4,4,10,1, 9.67 
GP,F,18,U,LE3,A,2,2,2,no,no,4,1,4,4,10,1, 16.00 
GP,F,20,U,GT3,T,1,0,1,no,yes,5,3,1,5,5,0, 9.33 
GP,F,18,U,GT3,T,3,2,2,yes,yes,3,1,2,1,4,1, 12.00 
MS,F,16,U,GT3,T,1,3,1,no,yes,4,3,3,5,11,1, 10.67 
MS,F,16,R,GT3,T,2,2,2,yes,no,4,4,4,5,0,0, 12.00 
MS,F,15,R,GT3,T,1,1,1,no,yes,4,1,3,2,6,0, 10.00 
MS,F,15,R,GT3,T,3,3,1,no,no,5,4,4,5,4,1, 10.33 
MS,F,16,R,GT3,T,2,3,2,no,no,4,5,2,5,0,1, 16.67 
MS,F,15,R,LE3,T,2,1,1,no,no,1,3,4,1,0,0, 7.67 
MS,M,16,R,LE3,A,4,4,2,no,no,5,3,2,2,5,1, 10.67 
